Datum,URL,Klicks,Impressionen,Durchschn. Position
2026-03-13,https://teleschmie.de/ueber-mich/,1,1,1
2026-03-27,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,9,8
2026-04-03,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,7
2026-04-03,https://teleschmie.de/blog/se-ranking-ai-tracker/,0,1,6
2026-04-03,https://teleschmie.de/leistungen/,0,1,2
2026-04-03,https://teleschmie.de/google-ads-freelancer-berlin/,0,1,4
2026-04-03,https://teleschmie.de/blog/24-jahre-seo-gleiche-fehler/,0,1,7
2026-04-10,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,9
2026-04-17,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,8,5
2026-04-24,https://teleschmie.de/tools/groundingpage-generator/,0,3,3
2026-04-24,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,1,9
2026-04-24,https://teleschmie.de/blog/core-web-vitals-ux-bericht/,0,1,5
2026-05-01,https://teleschmie.de/,1,1,1
2026-05-01,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,6,9
2026-05-01,https://teleschmie.de/glossar/ueberstunde-berlin/,0,1,4
2026-05-01,https://teleschmie.de/blog/se-ranking-ai-tracker/,0,1,7
2026-05-01,https://teleschmie.de/impressum/,0,1,9
2026-05-08,https://teleschmie.de/glossar/ueberstunde-berlin/,1,3,5
2026-05-08,https://teleschmie.de/tools/groundingpage-generator/,0,3,2
2026-05-08,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,10
2026-05-08,https://teleschmie.de/glossar/geo-audit/,0,2,8
2026-05-08,https://teleschmie.de/glossar/mention/,0,1,2
2026-05-08,https://teleschmie.de/blog/google-search-console-zustaendigkeit-umfrage/,0,1,2
2026-05-08,https://teleschmie.de/glossar/expertise-eeat/,0,1,7
2026-05-08,https://teleschmie.de/blog/seo-sprechstunde-so-laeuft-sie-ab/,0,1,1
2026-05-15,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,7,3
2026-05-15,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,3,5
2026-05-15,https://teleschmie.de/glossar/ueberstunde-berlin/,0,2,5
2026-05-15,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,2,5
2026-05-15,https://teleschmie.de/blog/rankscale-essentials-ai-tracking-einsteiger/,0,2,6
2026-05-15,https://teleschmie.de/,0,1,1
2026-05-15,https://teleschmie.de/tools/groundingpage-generator/,0,1,6
2026-05-15,https://teleschmie.de/glossar/geo-agentur/,0,1,1
2026-05-22,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,8,5
2026-05-22,https://teleschmie.de/blog/sistrix-vs-se-ranking/,0,5,3
2026-05-22,https://teleschmie.de/glossar/ueberstunde-berlin/,0,4,6
2026-05-22,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,4,2
2026-05-22,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,2,3
2026-05-22,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,9
2026-05-22,https://teleschmie.de/glossar/geo-audit/,0,1,9
2026-05-22,https://teleschmie.de/glossar/google-search-console/,0,1,3
2026-05-29,https://teleschmie.de/glossar/ueberstunde-berlin/,0,10,6
2026-05-29,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,6,3
2026-05-29,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,4,4
2026-05-29,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,2,8
2026-05-29,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,10
2026-05-29,https://teleschmie.de/glossar/trailing-slashes/,0,2,10
2026-05-29,https://teleschmie.de/blog/se-ranking-api-claude-code-praxis-test/,0,2,3
2026-05-29,https://teleschmie.de/blog/bist-du-seo-ai-ready-podcast/,0,2,10
2026-05-29,https://teleschmie.de/tools/groundingpage-generator/,0,1,10
2026-06-05,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,7,3
2026-06-05,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,7,8
2026-06-05,https://teleschmie.de/glossar/ueberstunde-berlin/,0,5,5
2026-06-05,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,4,4
2026-06-05,https://teleschmie.de/,0,1,1
2026-06-05,https://teleschmie.de/tools/groundingpage-generator/,0,1,5
2026-06-05,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,1,3
2026-06-05,https://teleschmie.de/blog/ai-crawler-sind-dumm-markdown/,0,1,10
2026-06-12,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,7,4
2026-06-12,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,7,9
2026-06-12,https://teleschmie.de/blog/se-ranking-api-claude-code-praxis-test/,0,3,3
2026-06-12,https://teleschmie.de/glossar/ueberstunde-berlin/,0,2,8
2026-06-12,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,2,4
2026-06-12,https://teleschmie.de/glossar/sichtbarkeitsindex/,0,2,6
2026-06-12,https://teleschmie.de/glossar/h1-h2-h3/,0,1,7
2026-06-12,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,1,7
2026-06-12,https://teleschmie.de/glossar/trailing-slashes/,0,1,4
2026-06-12,https://teleschmie.de/glossar/money-keyword/,0,1,3
